Alpha Theta Amplitude
0.000 90.000 23.694
10.000 90.435 23.940
20.000 91.728 24.506
30.000 93.841 27.279
40.000 96.718 27.203
50.000 100.289 25.778
60.000 104.478 22.328
70.000 109.207 22.712
80.000 114.404 19.393
90.000 120.000 11.307
100.000 125.932 7.690
110.000 132.145 1.772
120.000 138.590 7.659
130.000 145.225 20.548
140.000 152.009 28.164
150.000 158.909 35.957
160.000 165.894 42.718
170.000 172.933 47.163
180.000 180.000 48.817
