Alpha Theta Amplitude
0.000 90.000 0.000
10.000 90.435 13.432
20.000 91.728 13.124
30.000 93.841 11.206
40.000 96.718 12.269
50.000 100.289 18.268
60.000 104.478 24.435
70.000 109.207 30.664
80.000 114.404 33.220
90.000 120.000 33.542
100.000 125.932 30.897
110.000 132.145 25.642
120.000 138.590 13.737
130.000 145.225 9.197
140.000 152.009 23.483
150.000 158.909 39.415
160.000 165.894 50.634
170.000 172.933 53.680
180.000 180.000 54.700
