Alpha Theta Amplitude
0.000 90.000 2.791
10.000 90.435 2.968
20.000 91.728 3.165
30.000 93.841 3.950
40.000 96.718 4.862
50.000 100.289 6.085
60.000 104.478 7.151
70.000 109.207 7.981
80.000 114.404 9.039
90.000 120.000 10.762
100.000 125.932 12.513
110.000 132.145 13.967
120.000 138.590 15.969
130.000 145.225 17.236
140.000 152.009 19.013
150.000 158.909 19.912
160.000 165.894 19.977
170.000 172.933 20.723
180.000 180.000 21.111
