Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 19.832
10.000 10.000 19.760
20.000 20.000 19.946
30.000 30.000 19.848
40.000 40.000 19.794
50.000 50.000 19.744
60.000 60.000 19.652
70.000 70.000 19.719
80.000 80.000 19.638
90.000 90.000 19.678
100.000 100.000 19.567
110.000 110.000 19.352
120.000 120.000 19.360
130.000 130.000 19.260
140.000 140.000 19.004
150.000 150.000 18.812
160.000 160.000 18.993
170.000 170.000 18.879
180.000 180.000 18.866
