18,0	118
18,1	125
18,2	118
18,3	120
18,4	111
18,5	116
18,6	119
18,7	115
18,8	113
18,9	113
19,0	111
19,1	110
19,2	106
19,3	106
19,4	109
19,5	106
19,6	105
19,7	105
19,8	111
19,9	200
20,0	532
20,1	1347
20,2	2099
20,3	1562
20,4	865
20,5	399
20,6	233
20,7	169
20,8	161
20,9	156
21,0	148
21,1	149
21,2	135
21,3	134
21,4	143
21,5	129
21,6	140
21,7	133
21,8	129
21,9	129
22,0	151
22,1	207
22,2	661
22,3	2243
22,4	5383
22,5	7027
22,6	5368
22,7	2928
22,8	1145
22,9	344
23,0	170
23,1	127
23,2	113
23,3	100
23,4	106
23,5	94
23,6	93
23,7	87
23,8	94
23,9	86
24,0	82
24,1	80
24,2	82
24,3	79
24,4	75
24,5	73
